Provincia,Comune,Sito
BL,Alleghe,http://alleghe.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
TV,Altivole,http://altivole.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
LC,Barzanò,http://barzano.trasparenza-valutazione-merito.it
BS,Berzo Demo,http://berzodemo.trasparenza-valutazione-merito.it/
SO,Bormio,http://bormio.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Botticino,http://botticino.trasparenza-valutazione-merito.it
VA,Brebbia,http://brebbia.trasparenza-valutazione-merito.it/
VR,Brenzone sul Garda,http://brenzone.trasparenza-valutazione-merito.it/web/trasparenza/atti-amministrativi
CO,Cabiate,http://cabiate.trasparenza-valutazione-merito.it/albo-pretorio
BG,Calcio,http://calcio.trasparenza-valutazione-merito.it/albo-pretorio
MI,Cambiago,http://cambiago.trasparenza-valutazione-merito.it/albo-pretorio
CO,Carimate,http://carimate.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
PI,Casciana Terme Lari,http://temp-vh02.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio 
CE,Castel Volturno,http://castelvolturno.trasparenza-valutazione-merito.it/albo-pretorio
BS,Castrezzato,http://castrezzato.trasparenza-valutazione-merito.it/
BS,Cedegolo,http://cedegolo.trasparenza-valutazione-merito.it/
BL,Cencenighe Agordino,http://cencenigheagordino.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
LO,Cervignano d'Adda,http://cervignanodadda.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Cevo,http://cevo.trasparenza-valutazione-merito.it/
BL,Chies d'Alpago,http://chies.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
RI,Cittaducale,http://cittaducale.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BL,Colle Santa Lucia,http://collesantalucia.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Cologne,http://cologne.trasparenza-valutazione-merito.it/albo-pretorio
RM,Colonna,http://colonna.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
VE,Cona,http://cona.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
BS,Concesio,http://concesio.trasparenza-valutazione-merito.it/albo-pretorio?VoceMenu=153&Sezione=7
NA,Crispano,http://crispano.trasparenza-valutazione-merito.it/web/trasparenza/atti-amministrativi
BS,Darfo Boario Terme,http://www.darfoboarioterme.gov.it/../../servizi/Menu/menu_redirect.aspx?url=http%3a%2f%2fdarfoboarioterme.trasparenza-valutazione-merito.it%2falbo-pretorio&ID=6290&idCat=6290&TipoElemento=categoria
PD,Este,http://este.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio
